recordTimeUtc,sessionSeconds,simulationFrame,gameTime,vehicleId,x,y,z,angleX,angleY,speed,prefabName
2026-06-10T03:13:31.6400082Z,0.046,12461872,2042-03-16T07:58:05.9099713,11829,1355.051,164.811,2384.17,359.976,342.189,3.527,Station-wagon
2026-06-10T03:13:32.1639994Z,0.571,12461905,2042-03-16T09:15:37.6883759,11829,1355.433,164.768,2390.903,1.464,30.032,3.529,Station-wagon
2026-06-10T03:13:32.6855477Z,1.093,12461937,2042-03-16T10:32:38.0130334,11829,1360.8,164.227,2398.16,5.052,40.416,5.534,Station-wagon
2026-06-10T03:13:33.2104500Z,1.618,12461968,2042-03-16T11:50:13.1310648,11829,1368.585,163.01,2407.173,6.329,40.968,6.137,Station-wagon
2026-06-10T03:13:33.7383853Z,2.144,12462000,2042-03-16T13:07:48.3843148,11829,1376.581,161.622,2416.38,6.616,40.979,6.136,Station-wagon
2026-06-10T03:13:34.2482073Z,2.653,12462030,2042-03-16T14:22:59.2025153,11829,1384.59,160.205,2425.601,6.588,40.982,6.152,Station-wagon
2026-06-10T03:13:34.7627361Z,3.167,12462061,2042-03-16T15:38:57.5874716,11829,1392.608,158.83,2434.831,6.181,40.981,6.152,Station-wagon
2026-06-10T03:13:36.8828273Z,3.82,12462091,2042-03-16T17:15:15.1795846,11829,1396.621,158.195,2439.45,5.681,40.983,6.152,Station-wagon
2026-06-10T03:13:37.3798763Z,4.347,12462134,2042-03-16T18:33:07.3254356,11829,1408.706,157.265,2453.361,0.225,40.981,6.16,Station-wagon
2026-06-10T03:13:37.8952488Z,4.872,12462165,2042-03-16T19:50:39.6755882,11829,1414.494,157.249,2460.024,0.029,40.98,3.173,Station-wagon
2026-06-10T03:13:38.4199192Z,5.403,12462197,2042-03-16T21:09:06.0282442,11829,1417.115,157.247,2463.042,0.028,40.977,0.273,Station-wagon
